issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
08153,2008-12-29,2,4,6,25,26,2,5,52918807,100816669
08154,2008-12-31,5,7,10,29,32,4,6,54753073,80816669
09001,2009-01-03,1,15,23,27,30,4,10,57073015,74377565
09002,2009-01-05,1,4,7,12,30,5,10,52000661,85740843
09003,2009-01-07,16,18,23,30,32,2,11,50535881,97247171
09004,2009-01-10,1,3,22,32,35,6,10,55138389,107762673
09005,2009-01-12,10,11,15,31,32,5,8,50937415,110430577
09006,2009-01-14,2,4,22,31,35,9,12,51414782,113595649
09007,2009-01-17,6,14,15,29,35,6,11,58730615,108595649
09008,2009-01-19,4,17,21,29,31,2,12,52448051,103595649
09009,2009-01-21,12,18,23,26,32,6,9,50940517,80595649
09010,2009-01-24,2,9,12,21,29,7,11,59500348,91665870
09011,2009-02-02,2,11,13,14,21,2,4,44940347,102066823
09012,2009-02-04,2,5,20,25,31,10,12,46529600,97066823
09013,2009-02-07,5,24,26,30,35,5,12,51994916,108052216
09014,2009-02-09,8,14,15,25,26,7,9,47780433,110754526
09015,2009-02-11,1,5,10,16,27,3,4,49522537,100754526
09016,2009-02-14,10,11,20,26,27,9,11,53924327,95754526
09017,2009-02-16,5,11,23,26,33,4,12,47076272,100497720
09018,2009-02-18,1,6,13,28,29,3,9,47980946,90497720
09019,2009-02-21,4,29,31,32,35,4,10,53504263,81647109
09020,2009-02-23,5,16,18,32,35,2,11,48090233,90300606
09021,2009-02-25,1,15,31,32,34,3,8,49445917,78401952
09022,2009-02-28,12,14,17,34,35,4,11,55310640,87252331
09023,2009-03-02,15,17,21,27,33,7,11,48760441,97585347
09024,2009-03-04,29,31,32,33,35,10,11,49544899,32195688
09025,2009-03-07,3,17,22,23,33,4,10,51222852,26773220
09026,2009-03-09,24,30,31,32,34,10,12,47275096,10087407
09027,2009-03-11,3,22,26,33,34,9,10,48116008,19652034
09028,2009-03-14,6,20,30,32,35,9,11,54417733,0
09029,2009-03-16,3,4,13,17,24,4,11,46951848,35136843
09030,2009-03-18,1,7,27,30,32,1,4,48076848,44647908
09031,2009-03-21,7,11,19,21,22,1,11,53083824,55688643
09032,2009-03-23,4,12,20,26,29,6,10,46963564,56850363
09033,2009-03-25,2,8,18,21,32,8,11,48984920,65455579
09034,2009-03-28,5,19,31,32,35,4,9,53016496,30000000
09035,2009-03-30,3,7,9,28,33,3,8,47372251,28381047
09036,2009-04-01,2,12,26,31,33,9,10,48851036,37276722
09037,2009-04-04,17,18,19,25,31,1,11,53181208,48490237
09038,2009-04-06,6,17,20,29,32,4,5,46810312,45414837
09039,2009-04-08,1,3,7,10,33,3,4,49756688,45281025
09040,2009-04-11,3,16,30,32,33,1,10,55451075,55529044
09041,2009-04-13,5,9,20,23,29,4,10,49858255,64481431
09042,2009-04-15,11,24,25,26,31,2,7,50135357,55024866
09043,2009-04-18,5,21,22,32,35,2,5,54703400,54669480
09044,2009-04-20,1,7,18,29,34,3,9,48504299,51785973
09045,2009-04-22,1,9,14,24,35,6,9,50114289,61184674
09046,2009-04-25,1,9,24,34,35,4,9,54210221,61692863
09047,2009-04-27,13,18,21,24,29,3,6,48883059,72561808
09048,2009-04-29,5,6,22,25,27,11,12,47916383,80754578
09049,2009-05-02,5,16,28,29,34,11,12,50231963,86879914
09050,2009-05-04,5,15,28,32,33,8,9,46736299,84527645
09051,2009-05-06,3,11,22,26,29,5,12,48242380,93348517
09052,2009-05-09,23,24,30,34,35,1,3,52182712,96062600
09053,2009-05-11,5,9,24,31,33,5,6,46770636,101457274
09054,2009-05-13,2,12,19,29,30,7,12,50568158,83457274
09055,2009-05-16,5,8,14,23,24,5,6,52677379,94528324
09056,2009-05-18,4,13,17,32,35,3,6,47573881,99675089
09057,2009-05-20,6,15,22,27,30,2,9,48851346,25348422
09058,2009-05-23,8,10,14,27,32,2,7,51003335,35319074
09059,2009-05-25,2,13,14,29,33,4,11,43071746,20333605
09060,2009-05-27,18,28,29,30,31,4,8,46270476,13780887
09061,2009-05-30,2,10,21,26,34,2,10,49154757,18272611
09062,2009-06-01,4,22,23,29,31,5,11,45578124,23114655
09063,2009-06-03,5,6,18,21,22,1,7,45959640,32272565
09064,2009-06-06,6,10,11,17,34,11,12,50207791,43367500
09065,2009-06-08,1,12,24,27,32,2,11,45248670,50172633
09066,2009-06-10,1,8,19,24,31,6,12,45835410,53386371
09067,2009-06-13,3,6,25,28,32,2,5,50223305,62985985
09068,2009-06-15,2,12,15,20,28,1,12,45860799,73988274
09069,2009-06-17,14,16,27,30,33,8,12,46288776,76341617
09070,2009-06-20,10,21,24,30,31,3,10,49441977,76603975
09071,2009-06-22,4,20,29,30,33,2,11,45019753,83098878
09072,2009-06-24,23,26,29,32,33,5,10,45922820,79140662
09073,2009-06-27,1,10,19,21,30,1,4,50495747,78185555
